	affy_hg_u133_plus_2	ensembl_gene_id	gene_biotype	external_gene_name
292	1007_s_at	ENSG00000234078	protein_coding	DDR1
729	1007_s_at	ENSG00000215522	protein_coding	DDR1
2273	1007_s_at	ENSG00000137332	protein_coding	DDR1
2832	1007_s_at	ENSG00000204580	protein_coding	DDR1
3079	1007_s_at	ENSG00000230456	protein_coding	DDR1
1741	1053_at	ENSG00000049541	protein_coding	RFC2
533	117_at	ENSG00000225217	unprocessed_pseudogene	HSPA7
3312	117_at	ENSG00000173110	protein_coding	HSPA6
3313	117_at	ENSG00000273112	lncRNA	AL590385.2
3315	117_at	ENSG00000244682	polymorphic_pseudogene	FCGR2C
3317	117_at	ENSG00000143226	protein_coding	FCGR2A
4772	121_at	ENSG00000125618	protein_coding	PAX8
326	1255_g_at	ENSG00000048545	protein_coding	GUCA1A
327	1255_g_at	ENSG00000287363	protein_coding	GUCA1A
142	1294_at	ENSG00000283726	miRNA	MIR5193
4437	1294_at	ENSG00000182179	protein_coding	UBA7
285	1316_at	ENSG00000126351	protein_coding	THRA
4797	1320_at	ENSG00000070778	protein_coding	PTPN21
671	1405_i_at	ENSG00000274233	protein_coding	CCL5
3322	1405_i_at	ENSG00000271503	protein_coding	CCL5
1676	1431_at	ENSG00000130649	protein_coding	CYP2E1
2179	1438_at	ENSG00000182580	protein_coding	EPHB3
580	1487_at	ENSG00000215572	processed_pseudogene	ESRRAP1
581	1487_at	ENSG00000238132	processed_pseudogene	CASC4P1
1220	1487_at	ENSG00000173153	protein_coding	ESRRA
2237	1494_f_at	ENSG00000255974	protein_coding	CYP2A6
2252	1494_f_at	ENSG00000198077	protein_coding	CYP2A7
4589	1552256_a_at	ENSG00000073060	protein_coding	SCARB1
3573	1552257_a_at	ENSG00000100304	protein_coding	TTLL12
2952	1552258_at	ENSG00000172965	lncRNA	MIR4435-2HG
4582	1552261_at	ENSG00000101443	protein_coding	WFDC2
723	1552263_at	ENSG00000100030	protein_coding	MAPK1
722	1552264_a_at	ENSG00000100030	protein_coding	MAPK1
4474	1552266_at	ENSG00000197140	protein_coding	ADAM32
5113	1552266_at	ENSG00000275594	protein_coding	ADAM32
848	1552269_at	ENSG00000162814	protein_coding	SPATA17
2356	1552271_at	ENSG00000141994	protein_coding	DUS3L
